Ref,Val,Package,PosX,PosY,Rot,Side
"H1","Stabilizer Mount","Stabilizer_MX_2u",117.452848,-130.800000,0.000000,bottom
"K1","KEYSW","Kailh_socket_MX",203.052848,-54.800000,180.000000,bottom
"K2","KEYSW","Kailh_socket_MX",184.052848,-54.800000,180.000000,bottom
"K3","KEYSW","Kailh_socket_MX",165.052848,-54.800000,180.000000,bottom
"K4","KEYSW","Kailh_socket_MX",146.052848,-54.800000,180.000000,bottom
"K5","KEYSW","Kailh_socket_MX",127.052848,-54.800000,180.000000,bottom
"K6","KEYSW","Kailh_socket_MX",108.052848,-54.800000,180.000000,bottom
"K7","KEYSW","Kailh_socket_MX",89.052848,-54.800000,180.000000,bottom
"K8","KEYSW","Kailh_socket_MX",198.252848,-73.800000,180.000000,bottom
"K9","KEYSW","Kailh_socket_MX",174.452848,-73.800000,180.000000,bottom
"K10","KEYSW","Kailh_socket_MX",155.452848,-73.800000,180.000000,bottom
"K11","KEYSW","Kailh_socket_MX",136.452848,-73.800000,180.000000,bottom
"K12","KEYSW","Kailh_socket_MX",117.452848,-73.800000,180.000000,bottom
"K13","KEYSW","Kailh_socket_MX",200.652848,-92.800000,180.000000,bottom
"K14","KEYSW","Kailh_socket_MX",169.652848,-92.800000,180.000000,bottom
"K15","KEYSW","Kailh_socket_MX",150.652848,-92.800000,180.000000,bottom
"K16","KEYSW","Kailh_socket_MX",131.652848,-92.800000,180.000000,bottom
"K17","KEYSW","Kailh_socket_MX",112.652848,-92.800000,180.000000,bottom
"K18","KEYSW","Kailh_socket_MX",200.652848,-111.800000,180.000000,bottom
"K19","KEYSW","Kailh_socket_MX",179.152848,-111.800000,180.000000,bottom
"K20","KEYSW","Kailh_socket_MX",160.152848,-111.800000,180.000000,bottom
"K21","KEYSW","Kailh_socket_MX",141.152848,-111.800000,180.000000,bottom
"K22","KEYSW","Kailh_socket_MX",122.152848,-111.800000,180.000000,bottom
"K23","KEYSW","Kailh_socket_MX",103.152848,-111.800000,180.000000,bottom
"K24","KEYSW","Kailh_socket_MX",203.052848,-130.800000,180.000000,bottom
"K25","KEYSW","Kailh_socket_MX",184.052848,-130.800000,180.000000,bottom
"K26","KEYSW","Kailh_socket_MX",165.052848,-130.800000,180.000000,bottom
"K27","KEYSW","Kailh_socket_MX",146.052848,-130.800000,180.000000,bottom
"K28","KEYSW","Kailh_socket_MX",117.452848,-130.800000,180.000000,bottom
"C1","22p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",103.475248,-78.995100,90.000000,top
"C2","22p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",103.500648,-75.590400,-90.000000,top
"C3","100n","CAPC2012X94N",101.113048,-76.860400,-90.000000,top
"C4","100n","CAPC2012X94N",97.912648,-84.709000,180.000000,top
"C5","100n","CAPC2012X94N",88.540048,-81.407000,90.000000,top
"C6","100n","CAPC2012X94N",92.162248,-71.721000,0.000000,top
"C7","4.7u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",101.163848,-82.169000,-90.000000,top
"C8","0.1u","CAPC2012X94N",98.882200,-103.327200,0.000000,top
"C9","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",99.695000,-94.208600,0.000000,top
"C10","100n","CAPC2012X94N",99.614448,-87.172800,180.000000,top
